Brand,section_key,section_name,section type,Sub.Group,MPN,Frequency(MT/s),Density(GB)
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321R4GA3PB0-CWM,5600,32
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321R8GA0PB0-CWM,5600,64
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321RYGA0PB0-CWM,5600,96
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321R4GA3EB0-CWM,5600,32
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321R8GA0EB0-CWM,5600,64
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321RAJA0MB0-CWM,5600,128
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321RYGA0PB2-CCP,6400,96
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321R4GA3EB2-CCP,6400,32
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321R8GA0EB2-CCP,6400,64
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,MDRRWM4QDBC2,6400,96
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321RAJA0MB2-CCP,6400,128
SAMSUNG,RDIMM,DIMM / Memory,single,DDR5,M321RBJA0M22-CLP,6400,256
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC10F1084S1RC56BD2,5600,16
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC20F2085S1RC56BD2,5600,32
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC40F2046S1RC56BD1 ,5600,64
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC10F1084S1RC64BH1,6400,16
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC20F1045S1RC64BD2,6400,32
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC20F2085S1RC64BD2,6400,32
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC20F2085S1RC64BH1,6400,32
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC40F2046S1RC64BD2,6400,64
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC40F2046S1RC64BH1,6400,64
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC40F204WS1RC64BC1,6400,96
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC40F2047S1RC56BB1,6400,128
MICRON,RDIMM,DIMM / Memory,single,DDR5,MTC40F2047S1RC64BB1 ,6400,128
