Brand,section_key,section_name,section type,Sub.Group,MPN,Option name,Spec
Nvidia,GPU,GPU / Accelerator,single,NVLink,900-53651-0000-000,Nvidia NVLINK 2-way,NVLINK 2-way 
Nvidia,GPU,GPU / Accelerator,single,NVLink,900-23946-0000-000 ,Nvidia NVLINK 4-way,NVLINK 4-way 
Nvidia,GPU,GPU / Accelerator,single,NVLink,900-23945-0000-000,Nvidia NVLINK BRIDGE BOARD 2-way Passive Accessory,NVLINK BRIDGE BOARD 2-way Passive Accessory 
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-2G133-0080-000,Nvidia GPU L40S,GPU L40S
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-2G193-0000-000,Nvidia GPU L4,GPU L4
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-21010-0040-000,Nvidia GPU H200 NVL,GPU H200 NVL
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-2G153-0000-000,Nvidia RTX PRO 6000,RTX PRO 6000
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-5G153-2250-000,Nvidia RTX PRO 5000 48GB Blackwell,RTX PRO 5000 48GB Blackwell
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-5G153-2270-000,Nvidia RTX PRO 5000 72GB Blackwell,RTX PRO 5000 72GB Blackwell
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-5G147-2250-000,Nvidia RTX PRO 4500,RTX PRO 4500
Nvidia,GPU,GPU / Accelerator,single,PCIe,900-2G147-0000-000 ,Nvidia RTX PRO 4500 Server Edition 32GB PCIe,RTX PRO 4500 Server Edition 32GB PCIe
Nvidia,GPU,GPU / Accelerator,single,HGX,935-26287-0070-000,Nvidia HGX B300 16-GPU 16 x 144GB Baseboard AC,HGX B300 16-GPU 16 x 144GB Baseboard AC
Nvidia,GPU,GPU / Accelerator,single,HGX,935-26287-0071-000,Nvidia HGX B300 NVL8 2.3TB Baseboard PC,HGX B300 NVL8 2.3TB Baseboard PC 
AMD,GPU,GPU / Accelerator,single,PCIe,100-300000008H,AMD HW PK 9BE MI210 PCIe,HW PK 9BE MI210 PCIe
AMD,GPU,GPU / Accelerator,single,UBB,100-300000045H,AMD GPU MI300X/CLCDNA 3 192GB HBM3 750W OAM (UBB-8),GPU MI300X/CLCDNA 3 192GB HBM3 750W OAM (UBB-8)
AMD,GPU,GPU / Accelerator,single,UBB,100-300000069H,AMD GPU MI300X/CFCDNA 3 192GB HBM3 750W OAM (UBB-8),GPU MI300X/CFCDNA 3 192GB HBM3 750W OAM (UBB-8)
AMD,GPU,GPU / Accelerator,single,UBB,100-300000098H,AMD AMD MI325X/CLCDNA 3 256GB HBM3e 1000W OAM (UBB-8),AMD MI325X/CLCDNA 3 256GB HBM3e 1000W OAM (UBB-8)
AMD,GPU,GPU / Accelerator,single,UBB,100-300000097H,AMD AMD MI325X/CFCDNA 3 256GB HBM3e 1000W OAM (UBB-8),AMD MI325X/CFCDNA 3 256GB HBM3e 1000W OAM (UBB-8)
AMD,GPU,GPU / Accelerator,single,UBB,100-300000246H,AMD AMD MI350X/CF288GB 8 1000W OAM + 1 UBB,AMD MI350X/CF288GB 8 1000W OAM + 1 UBB
AMD,GPU,GPU / Accelerator,single,UBB,100-300000193H,AMD AMD MI355X288GB 8 1400W OAM + 1 UBB Direct Die Cooling - 2RU,AMD MI355X288GB 8 1400W OAM + 1 UBB Direct Die Cooling - 2RU 
