Brand,section_key,section_name,section type,Sub.Group,MPN,Option name,Density(TB),Form factor
Toshiba,HDD,HDD,optional,SATA,MG10ADA100N,"Toshiba 1TB SATA 3.5""",1,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG10ADA200E,"Toshiba 2TB SATA 3.5""",2,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG10ADA400E,"Toshiba 4TB SATA 3.5""",4,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG10ADA600E,"Toshiba 6TB SATA 3.5""",6,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG10ADA800E,"Toshiba 8TB SATA 3.5""",8,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG10SDA800E,"Toshiba 8TB SAS 3.5""",8,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG10ADA10TE,"Toshiba 10TB SATA 3.5""",10,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG10SDA10TE,"Toshiba 10TB SAS 3.5""",10,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG09ACA12TE,"Toshiba 12TB SATA 3.5""",12,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG09SCA12TE,"Toshiba 12TB SAS 3.5""",12,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG11ACA14TE,"Toshiba 14TB SATA 3.5""",14,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG11SCA14TE,"Toshiba 14TB SAS 3.5""",14,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG11ACA16TE,"Toshiba 16TB SATA 3.5""",16,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG11SCA16TE,"Toshiba 16TB SAS 3.5""",16,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG11ACA18TE,"Toshiba 18TB SATA 3.5""",18,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG11SCA18TE,"Toshiba 18TB SAS 3.5""",18,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG11ACA20TE,"Toshiba 20TB SATA 3.5""",20,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG11SCA20TE,"Toshiba 20TB SAS 3.5""",20,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG11ACA22TE,"Toshiba 22TB SATA 3.5""",22,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG11SCA22TE,"Toshiba 22TB SAS 3.5""",22,"3.5"""
Toshiba,HDD,HDD,optional,SATA,MG11ACA24TE,"Toshiba 24TB SATA 3.5""",24,"3.5"""
Toshiba,HDD,HDD,optional,SAS,MG11SCA24TE,"Toshiba 24TB SAS 3.5""",24,"3.5"""
WD,HDD,HDD,optional,SATA,HUS722T1TALA604 ,"WD 1TB SATA 3.5""",1,"3.5"""
WD,HDD,HDD,optional,SATA,HUS726T2TALA6L4,"WD 2TB SATA 3.5""",2,"3.5"""
WD,HDD,HDD,optional,SATA,HUS726T4TALE6L4 ,"WD 4TB SATA 3.5""",4,"3.5"""
WD,HDD,HDD,optional,SATA,WUS721204BLE6l4,"WD 4TB SATA 3.5""",4,"3.5"""
WD,HDD,HDD,optional,SAS,HUS726T4TAL5204,"WD 4TB SAS 3.5""",4,"3.5"""
WD,HDD,HDD,optional,SATA,HUS726T6TALE6L4  ,"WD 6TB SATA 3.5""",6,"3.5"""
WD,HDD,HDD,optional,SATA,WUS721206BLE6L4,"WD 6TB SATA 3.5""",6,"3.5"""
WD,HDD,HDD,optional,SAS,HUS726T6TAL5204,"WD 6TB SAS 3.5""",6,"3.5"""
WD,HDD,HDD,optional,SATA,HUS728T8TALE6L4 ,"WD 8TB SATA 3.5""",8,"3.5"""
WD,HDD,HDD,optional,SATA,WUS721208BLE6L4,"WD 8TB SATA 3.5""",8,"3.5"""
WD,HDD,HDD,optional,SAS,HUS728T8TAL5204,"WD 8TB SAS 3.5""",8,"3.5"""
WD,HDD,HDD,optional,SATA,WUS721010ALE6L4,"WD 10TB SATA 3.5""",10,"3.5"""
WD,HDD,HDD,optional,SATA,WUS721210BLE6L4,"WD 10TB SATA 3.5""",10,"3.5"""
WD,HDD,HDD,optional,SAS,WUS721010AL5204,"WD 10TB SAS 3.5""",10,"3.5"""
WD,HDD,HDD,optional,SATA,WUS721212BLE6L4,"WD 12TB SATA 3.5""",12,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722012CL5204,"WD 12TB SAS 3.5""",12,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722014CLE6L4,"WD 14TB SATA 3.5""",14,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722014CL5204,"WD 14TB SAS 3.5""",14,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722016CLE6L4,"WD 16TB SATA 3.5""",16,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722016CL5204,"WD 16TB SAS 3.5""",16,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722018CLE6L4,"WD 18TB SATA 3.5""",18,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722018CL5204,"WD 18TB SAS 3.5""",18,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722020CLE6L4,"WD 20TB SATA 3.5""",20,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722020CL5204,"WD 20TB SAS 3.5""",20,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722222ALE6L4 ,"WD 22TB SATA 3.5""",22,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722422ALE6L4,"WD 22TB SATA 3.5""",22,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722222AL5204,"WD 22TB SAS 3.5""",22,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722422AL5204,"WD 22TB SAS 3.5""",22,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722424ALE6L4 ,"WD 24TB SATA 3.5""",24,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722624ALE6L4,"WD 24TB SATA 3.5""",24,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722424AL5204,"WD 24TB SAS 3.5""",24,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722624AL5204,"WD 24TB SAS 3.5""",24,"3.5"""
WD,HDD,HDD,optional,SATA,WUH722626ALE6L4,"WD 26TB SATA 3.5""",26,"3.5"""
WD,HDD,HDD,optional,SAS,WUH722626AL5204,"WD 26TB SAS 3.5""",26,"3.5"""
Seagate,HDD,HDD,optional,SATA,ST16000NM002H,"Seagate 16TB SATA 3.5""",16,"3.5"""
Seagate,HDD,HDD,optional,SAS,ST16000NM007H,"Seagate 16TB SAS 3.5""",16,"3.5"""
Seagate,HDD,HDD,optional,SATA,ST20000NM002H,"Seagate 20TB SATA 3.5""",20,"3.5"""
Seagate,HDD,HDD,optional,SAS,ST20000NM007H,"Seagate 20TB SAS 3.5""",20,"3.5"""
Seagate,HDD,HDD,optional,SATA,ST24000NM002H,"Seagate 24TB SATA 3.5""",24,"3.5"""
Seagate,HDD,HDD,optional,SAS,ST24000NM007H,"Seagate 24TB SAS 3.5""",24,"3.5"""
Seagate,HDD,HDD,optional,SATA,ST32000NM000K,"Seagate 32TB SATA 3.5""",32,"3.5"""
