Brand,section_key,section_name,section type,Sub.Group,MPN,Option name,Port,FormFactor,PCIeLane,CablingType
Intel,NIC Card,NIC Card,multi,1G,I350T2V2BLK,Intel I350T2V2BLK 1G 2P,2,HH PCIe,PCIe v2.1 x4,Cat 5
Intel,NIC Card,NIC Card,multi,1G,I350T4V2BLK,Intel I350T4V2BLK 1G 4P,4,HH PCIe,,
Intel,NIC Card,NIC Card,multi,1G,I350T4G2P20,Intel I350T4G2P20 1G 4P,4,HH PCIe,,
Intel,NIC Card,NIC Card,multi,1G,I350T4OCPV3G1P5,Intel I350T4OCPV3G1P5 1G 4P,4,OCP3.0,,
Intel,NIC Card,NIC Card,multi,10G,X710T2LBLK,Intel X710T2LBLK 10G 2P,2,HH PCIe,,
Intel,NIC Card,NIC Card,multi,10G,X710T4LBLK,Intel X710T4LBLK 10G 4P,4,HH PCIe,,
Intel,NIC Card,NIC Card,multi,10G,X710DA2BLK,Intel X710DA2BLK 10G 2P,2,HH PCIe,PCIe 3.0 x8,SFP+
Intel,NIC Card,NIC Card,multi,10G,X710DA4FHBLK,Intel X710DA4FHBLK 10G 4P,4,FH PCIe,,
Intel,NIC Card,NIC Card,multi,10G,X710T2LOCPV3,Intel X710T2LOCPV3 10G 2P,2,OCP3.0,,
Intel,NIC Card,NIC Card,multi,10G,X710T2LOCPV3G1P,Intel X710T2LOCPV3G1P 10G 2P,2,OCP3.0,,
Intel,NIC Card,NIC Card,multi,10G,X710T4LOCPV3,Intel X710T4LOCPV3 10G 4P,4,OCP3.0,,
Intel,NIC Card,NIC Card,multi,10G,X710DA2OCPV3G1P,Intel X710DA2OCPV3G1P 10G 2P,2,OCP3.0,,
Intel,NIC Card,NIC Card,multi,10G,X710DA4OCPV3G1P,Intel X710DA4OCPV3G1P 10G 4P,4,OCP3.0,,
Intel,NIC Card,NIC Card,multi,25G,XXV710DA2G1P5,Intel XXV710DA2G1P5 25G 2P,2,HH PCIe,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA2G1P5,Intel E810XXVDA2G1P5 25G 2P,2,HH PCIe,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA4TGG1,Intel E810XXVDA4TGG1 25G 4P,4,FH PCIe,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA4TG1,Intel E810XXVDA4TG1 25G 4P,4,FH PCIe,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA2OCPV3,Intel E810XXVDA2OCPV3 25G 2P,2,OCP3.0,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA2OCP3G,Intel E810XXVDA2OCP3G 25G 2P,2,OCP3.0,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA4OCPV3,Intel E810XXVDA4OCPV3 25G 4P,4,OCP3.0,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA2BLK,Intel E810XXVDA2BLK 25G 2P,2,HH PCIe,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA4BLK,Intel E810XXVDA4BLK 25G 4P,4,FH PCIe,,
Intel,NIC Card,NIC Card,multi,25G,E810XXVDA4LG1P5,Intel E810XXVDA4LG1P5 25G 4P,4,FH PCIe,,
Intel,NIC Card,NIC Card,multi,100G,E8102CQDA2 ,Intel E8102CQDA2 100G 2P,2,FH PCIe,,
Intel,NIC Card,NIC Card,multi,100G,E810CQDA1,Intel E810CQDA1 100G 1P,1,HH PCIe,,
Intel,NIC Card,NIC Card,multi,100G,E810CQDA1OCPV3,Intel E810CQDA1OCPV3 100G 1P,1,OCP3.0,,
Intel,NIC Card,NIC Card,multi,100G,E810CQDA2BLK,Intel E810CQDA2BLK 100G 2P,2,HH PCIe,,
Intel,NIC Card,NIC Card,multi,100G,E810CQDA2G2P5,Intel E810CQDA2G2P5 100G 2P,2,HH PCIe,,
Intel,NIC Card,NIC Card,multi,100G,E810CQDA2OCPV3,Intel E810CQDA2OCPV3 100G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,10G,BCM957412A4120AC,Broadcom BCM957412A4120AC 10G 2P,2,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,10G,BCM957416A4160C,Broadcom BCM957416A4160C 10G 2P,2,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,10G,BCM957416N4160C,Broadcom BCM957416N4160C 10G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,10G,BCM957412N4120C,Broadcom BCM957412N4120C 10G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,25G,BCM957414A4142CC,Broadcom BCM957414A4142CC 25G 2P,2,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,25G,BCM957504-P425G,Broadcom BCM957504-P425G 25G 4P,4,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,25G,BCM957414N4140C,Broadcom BCM957414N4140C 25G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,25G,BCM957504-N425G,Broadcom BCM957504-N425G 25G 4P,4,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,50G,BCM957414A4140C,Broadcom BCM957414A4140C 50G 1P,1,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,100G,BCM957504-N1100G,Broadcom BCM957504-N1100G 100G 1P,1,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,100G,BCM957508-P2100G,Broadcom BCM957508-P2100G 100G 2P,2,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,100G,BCM957508-N2100G,Broadcom BCM957508-N2100G 100G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,200G,BCM957508-P1200G,Broadcom BCM957508-P1200G 200G 1P,1,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,200G,BCM957608-P2200GQF00,Broadcom BCM957608-P2200GQF00 200G 2P,2,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,200G,BCM957608-N2200GQP00,Broadcom BCM957608-N2200GQP00 200G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,400G,BCM957608-N1400GDP00,Broadcom BCM957608-N1400GDP00 400G 1P,1,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,400G,BCM957608-P1400GDF00,Broadcom BCM957608-P1400GDF00 400G 1P,1,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,50G,BCM957414A4140C,Broadcom BCM957414A4140C 50G 1P,1,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,100G,BCM957504-N1100G,Broadcom BCM957504-N1100G 100G 1P,1,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,100G,BCM957508-P2100G,Broadcom BCM957508-P2100G 100G 2P,2,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,100G,BCM957508-N2100G,Broadcom BCM957508-N2100G 100G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,200G,BCM957508-P1200G,Broadcom BCM957508-P1200G 200G 1P,1,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,200G,BCM957608-P2200GQF00,Broadcom BCM957608-P2200GQF00 200G 2P,2,HH PCIe,,
Broadcom,NIC Card,NIC Card,multi,200G,BCM957608-N2200GQP00,Broadcom BCM957608-N2200GQP00 200G 2P,2,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,400G,BCM957608-N1400GDP00,Broadcom BCM957608-N1400GDP00 400G 1P,1,OCP3.0,,
Broadcom,NIC Card,NIC Card,multi,400G,BCM957608-P1400GDF00,Broadcom BCM957608-P1400GDF00 400G 1P,1,HH PCIe,,
