Brand,section_key,section_name,section type,Sub.Group,MPN,Option name,Spec,Memory(MB)
Broadcom,HBA,HBA Card,optional,,05-50111-00,Broadcom 9600-16i,9600-16i,
Broadcom,HBA,HBA Card,optional,,05-50111-01,Broadcom 9600-24i,9600-24i,
Broadcom,HBA,HBA Card,optional,,05-50134-00,Broadcom 9500-16i,9500-16i,
Broadcom,HBA,HBA Card,optional,,05-50134-01,Broadcom 9500-8i,9500-8i,
Broadcom,HBA,HBA Card,optional,,05-50137-02,Broadcom 9502-16i,9502-16i,
Broadcom,Raid,RAID,optional,,05-50077-00,Broadcom 9560-16i,9560-16i,
Broadcom,Raid,RAID,optional,,05-50077-01,Broadcom 9560-8i,9560-8i,
Broadcom,Raid,RAID,optional,,05-50123-00,Broadcom 9670-24i,9670-24i,
Broadcom,Raid,RAID,optional,,05-50113-00,Broadcom 9670W-16i,9670W-16i,
Broadcom,Raid,RAID,optional,,05-50134-25,Broadcom 9520-8i,9520-8i,
Broadcom,Raid,RAID,optional,,05-50107-00,Broadcom 9660-16i,9660-16i,
Broadcom,BBU,BBU (Backup),optional,,05-50039-00,Broadcom CVPM05,CVPM05,
Microchip,HBA,HBA Card,optional,,120016IX2S,Microchip 1200-16i,1200-16i ,
Microchip,HBA,HBA Card,optional,,1200UP32IX2S,Microchip 1200-32i,1200-32i,
Microchip,HBA,HBA Card,optional,,2293500-R ,Microchip 1100-16i,1100-16i ,
Microchip,HBA,HBA Card,optional,,2293200-R,Microchip 1100-8i,1100-8i,
Microchip,HBA,HBA Card,optional,,1200UP16IX2S,Microchip 1200P-16i,1200P-16i,
Microchip,HBA,HBA Card,optional,,220016IX2S,Microchip 2200-16i,2200-16i,
Microchip,Raid,RAID,optional,,3204C8IXS,Microchip 3204-8i,3204-8i,
Microchip,Raid,RAID,optional,,2295000-R,Microchip 3154-16i,3154-16i,
Microchip,Raid,RAID,optional,,3258C16IX2S,Microchip 3258-16i,3258-16i ,
Microchip,Raid,RAID,optional,,2291000-R,Microchip 3154-8i,3154-8i ,
Microchip,Raid,RAID,optional,,3258UPC16IX2S,Microchip 3258P-16i,3258P-16i ,
Microchip,Raid,RAID,optional,,2290400-R ,Microchip 2100-8i,2100-8i ,
Microchip,Raid,RAID,optional,,3254C8IXS,Microchip 3254-8i,3254-8i,
Microchip,Raid,RAID,optional,,3258UPC32IX2S,Microchip 3258UP-32i,3258UP-32i,
Microchip,Raid,RAID,optional,,3254C16IX2S,Microchip 3254-16i,3254-16i,
Microchip,Raid,RAID,optional,,2294700-R,Microchip 3154-24i,3154-24i,
Broadcom,M.2 Raid,M.2 RAID,optional,,05-50148-03,Broadcom 9520-2M2,9520-2M2,
