Brand,section_key,section_name,section type,Sub.Group,MPN,Interface,FormFactor,Capacity
SAMSUNG,SSD,SSD / NVMe,optional,PM893,MZ7L3480HCHQ-00A07,SATA III/6Gbs,"2.5""/7mm",480
SAMSUNG,SSD,SSD / NVMe,optional,PM893,MZ7L3960HCJR-00A07,SATA III/6Gbs,"2.5""/7mm",960
SAMSUNG,SSD,SSD / NVMe,optional,PM893,MZ7L31T9HBLT-00A07,SATA III/6Gbs,"2.5""/7mm",1T9
SAMSUNG,SSD,SSD / NVMe,optional,PM893,MZ7L33T8HBLT-00A07,SATA III/6Gbs,"2.5""/7mm",3T8
SAMSUNG,SSD,SSD / NVMe,optional,PM893,MZ7L37T6HBLA-00A07,SATA III/6Gbs,"2.5""/7mm",7T6
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZ1L2960HCJR-00A07,NVMe PCIe GEN4,M.2 (22110),960
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZ1L21T9HCLS-00A07,NVMe PCIe GEN4,M.2 (22110),1T9
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZ1L23T8HBLA-00A07,NVMe PCIe GEN4,M.2 (22110),3T8
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZQL2960HCJR-00A07,NVMe PCIe GEN4,"2.5""/7mm",960
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZQL21T9HCJR-00A07,NVMe PCIe GEN4,"2.5""/7mm",1T9
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZQL23T8HCLS-00A07,NVMe PCIe GEN4,"2.5""/7mm",3T8
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZQL27T6HBLA-00A07,NVMe PCIe GEN4,"2.5""/7mm",7T6
SAMSUNG,SSD,SSD / NVMe,optional,PM9A3,MZQL215THBLA-00A07,NVMe PCIe GEN4,"2.5""/7mm",15T
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZWL6960HFJA-00AW7,"NVMe PCIe GEN5
(Single Port)","2.5""/15mm",960
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZWL61T9HFLT-00AW7,"NVMe PCIe GEN5
(Single Port)","2.5""/15mm",1T9
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZWL63T8HFLT-00AW7,"NVMe PCIe GEN5
(Single Port)","2.5""/15mm",3T8
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZWL67T6HBLC-00AW7,"NVMe PCIe GEN5
(Single Port)","2.5""/15mm",7T6
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZWL615THBLF-00AW7,"NVMe PCIe GEN5
(Single Port)","2.5""/15mm",15T
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZVL6480HFLU-01AW7,"NVMe PCIe GEN5
(Single Port)",M.2 (2280),480
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZVL6960HFLB-01AW7,"NVMe PCIe GEN5
(Single Port)",M.2 (2280),960
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZVL61T9HBL1-01AW7,"NVMe PCIe GEN5
(Single Port)",M.2 (2280),1T9
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZTL61T9HFJA-00AW7,"NVMe PCIe GEN5
(Single Port)",E1.S 9.5mmT,1T9
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZTL63T8HFLT-00AW7,"NVMe PCIe GEN5
(Single Port)",E1.S 9.5mmT,3T8
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZTL67T6HBLC-00AW7,"NVMe PCIe GEN5
(Single Port)",E1.S 9.5mmT,7T6
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZTL615THBLF-00AW7,"NVMe PCIe GEN5
(Single Port)",E1.S 9.5mmT,15T
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZ3L61T9HFLT-00AW7,"NVMe PCIe GEN5
(Single Port)",E3.S_7.5mm,1T9
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZ3L63T8HFLT-00AW7,"NVMe PCIe GEN5
(Single Port)",E3.S_7.5mm,3T8
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZ3L67T6HBLC-00AW7,"NVMe PCIe GEN5
(Single Port)",E3.S_7.5mm,7T6
SAMSUNG,SSD,SSD / NVMe,optional,PM9D3A,MZ3L615THBLF-00AW7,"NVMe PCIe GEN5
(Single Port)",E3.S_7.5mm,15T
SAMSUNG,SSD,SSD / NVMe,optional,BM1743,MZWMO15THCLF-00AW7,"NVMe PCIe GEN4
(Dual Port)","2.5""/15mm",15T
SAMSUNG,SSD,SSD / NVMe,optional,BM1743,MZWMO30THCLF-00AW7,"NVMe PCIe GEN4
(Dual Port)",,30T
SAMSUNG,SSD,SSD / NVMe,optional,BM1743,MZWMO61THCLF-00AW7,"NVMe PCIe GEN4
(Dual Port)",,61.44T
