section_key,section_name,section type,Brand,Sub.Group,MPN,Option name,Cores,Threads,Freq(GHz),MaxMemSpeed(MT/s),SRAM_Cache(MB),DRAM_Cache(GB),BBU,Freq(MT/s),Capacity(GB),FormFactor(/mm),Interface,HDD_RPM,PCIeVersion,PCIeLane,Spec,Port,Connector,XCVR_Mode
CPU,CPU,single,Intel,Emerald Rapids,8580,"Intel Xeon 8580, 60C/120T, 2GHz, 350W",60,120,2,5600,300,,,,,,,,,,,,,
CPU,CPU,single,Intel,Emerald Rapids,8570,"Intel Xeon 8570, 56C/112T, 2.1GHz, 350W",56,112,2.1,5600,300,,,,,,,,,,,,,
CPU,CPU,single,Intel,Emerald Rapids,8558,"Intel Xeon 8558, 48C/96T, 2.1GHz, 330W",48,96,2.1,5200,260,,,,,,,,,,,,,
CPU,CPU,single,Intel,Emerald Rapids,6548Y+,"Intel Xeon 6548Y+, 32C/64T, 2.5GHz, 250W",32,64,2.5,5200,60,,,,,,,,,,,,,
CPU,CPU,single,Intel,Emerald Rapids,6538Y+,"Intel Xeon 6538Y+, 32C/64T, 2.2GHz, 225W",32,64,2.2,5200,60,,,,,,,,,,,,,
CPU,CPU,single,Intel,Emerald Rapids,6530,"Intel Xeon 6530, 32C/64T, 2.1GHz, 270W",32,64,2.1,4800,160,,,,,,,,,,,,,
CPU,CPU,single,Intel,Emerald Rapids,4510,"Intel Xeon 4510, 12C/24T, 2.4GHz, 150W",12,24,2.4,4400,30,,,,,,,,,,,,,
CPU,CPU,single,Intel,Emerald Rapids,6542Y,"Intel Xeon 6542Y, 24C/48T, 2.9GHz, 250W",24,48,2.9,5200,60,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids AP,6980P,"Intel Xeon 6980P, 128C/256T, 2GHz, 500W",128,256,2,8800,504,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids AP,6979P,"Intel Xeon 6979P, 120C/240T, 2.1GHz, 500W",120,240,2.1,8800,504,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids AP,6972P,"Intel Xeon 6972P, 96C/192T, 2.4GHz, 500W",96,192,2.4,8800,480,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids AP,6952P,"Intel Xeon 6952P, 96C/192T, 2.1GHz, 400W",96,192,2.1,8800,480,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids AP,6960P,"Intel Xeon 6960P, 72C/144T, 2.7GHz, 500W",72,144,2.7,8800,432,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6788P,"Intel Xeon 6788P, 86C/172T, 2GHz, 350W",86,172,2,6400,336,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6787P,"Intel Xeon 6787P, 86C/172T, 2GHz, 350W",86,172,2,8000,336,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6781P,"Intel Xeon 6781P, 80C/160T, 2GHz, 350W",80,160,2,8000,336,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6768P,"Intel Xeon 6768P, 64C/128T, 2.4GHz, 330W",64,128,2.4,6400,336,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6776P,"Intel Xeon 6776P, 64C/128T, 2.3GHz, 350W",64,128,2.3,8000,336,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6767P,"Intel Xeon 6767P, 64C/128T, 2.4GHz, 350W",64,128,2.4,8000,336,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6761P,"Intel Xeon 6761P, 64C/128T, 2.5GHz, 350W",64,128,2.5,8000,336,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6760P,"Intel Xeon 6760P, 64C/128T, 2.2GHz, 330W",64,128,2.2,6400,320,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6747P,"Intel Xeon 6747P, 48C/96T, 2.7GHz, 330W",48,96,2.7,8000,288,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6741P,"Intel Xeon 6741P, 48C/96T, 2.5GHz, 300W",48,96,2.5,6400,288,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6740P,"Intel Xeon 6740P, 48C/96T, 2.1GHz, 270W",48,96,2.1,6400,288,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6730P,"Intel Xeon 6730P, 32C/64T, 2.5GHz, 250W",32,64,2.5,6400,288,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6748P,"Intel Xeon 6748P, 48C/96T, 2.5GHz, 300W",48,96,2.5,6400,192,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6738P,"Intel Xeon 6738P, 32C/64T, 2.9GHz, 270W",32,64,2.9,6400,144,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6737P,"Intel Xeon 6737P, 32C/64T, 2.9GHz, 270W",32,64,2.9,6400,144,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6728P,"Intel Xeon 6728P, 24C/48T, 2.7GHz, 210W",24,48,2.7,6400,144,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6530P,"Intel Xeon 6530P, 32C/64T, 2.3GHz, 225W",32,64,2.3,6400,144,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6520P,"Intel Xeon 6520P, 24C/48T, 2.4GHz, 210W",24,48,2.4,6400,144,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6724P,"Intel Xeon 6724P, 16C/32T, 3.6GHz, 210W",16,32,3.6,6400,72,,,,,,,,,,,,,
CPU,CPU,single,Intel,Granite Rapids SP,6515P,"Intel Xeon 6515P, 16C/32T, 2.3GHz, 150W",16,32,2.3,6400,72,,,,,,,,,,,,,
