category_key,category_name,option_value,option_label
platform,Platform,x86,x86 Server
platform,Platform,arm,ARM Server
cooling,Cooling Type,air,Air Cooling
cooling,Cooling Type,liquid,Direct Liquid Cooling
cooling,Cooling Type,immersion,Immersion Cooling
vendor,Processor Vendor,amd,AMD
vendor,Processor Vendor,ampere,Ampere
vendor,Processor Vendor,intel,Intel
vendor,Processor Vendor,nvidia,NVIDIA
cpuSeries,CPU Series,xeon-scalable,Intel® Xeon® Scalable
cpuSeries,CPU Series,xeon-6,Intel® Xeon® 6
cpuSeries,CPU Series,xeon-e,Intel® Xeon® E
cpuSeries,CPU Series,epyc,AMD EPYC™
cpuSeries,CPU Series,threadripper,AMD Ryzen™ Threadripper™
cpuSeries,CPU Series,grace,NVIDIA Grace™
cpuSeries,CPU Series,altra,Ampere® Altra®
cpuSeries,CPU Series,ampereone,AmpereOne® Family
formFactor,Form Factor,1u,1U
formFactor,Form Factor,2u,2U
formFactor,Form Factor,3u,3U
formFactor,Form Factor,4u,4U
formFactor,Form Factor,5u,5U
formFactor,Form Factor,8u,8U
gpuType,GPU Type,none,None (No GPU)
gpuType,GPU Type,nvidia-h100-nvl,NVIDIA H100 NVL
gpuType,GPU Type,nvidia-h200-nvl,NVIDIA H200 NVL
gpuType,GPU Type,nvidia-hgx-h100,NVIDIA HGX™ H100
gpuType,GPU Type,nvidia-hgx-h200,NVIDIA HGX™ H200
gpuType,GPU Type,nvidia-hgx-b200,NVIDIA HGX™ B200
gpuType,GPU Type,nvidia-gh200,NVIDIA GH200 Grace Hopper™
gpuType,GPU Type,nvidia-gb200,NVIDIA GB200 Grace Blackwell
gpuType,GPU Type,nvidia-rtx-6000,NVIDIA RTX PRO™ 6000
gpuType,GPU Type,amd-mi300x,AMD Instinct™ MI300X
gpuType,GPU Type,amd-mi300a,AMD Instinct™ MI300A
gpuType,GPU Type,amd-mi325x,AMD Instinct™ MI325X
gpuType,GPU Type,intel-gaudi3,Intel® Gaudi® 3
gpus,GPUs,0,0
gpus,GPUs,1,1
gpus,GPUs,2,2
gpus,GPUs,4,4
gpus,GPUs,8,8
dimmSlots,DIMM Slots,0,0 (Integrated)
dimmSlots,DIMM Slots,4,4
dimmSlots,DIMM Slots,8,8
dimmSlots,DIMM Slots,12,12
dimmSlots,DIMM Slots,16,16
dimmSlots,DIMM Slots,24,24
dimmSlots,DIMM Slots,32,32
lanSpeed,LAN Speed,1gbe,1Gb/s
lanSpeed,LAN Speed,10gbe,10Gb/s
application,Application,ai,AI
application,Application,ai-training,AI Training
application,Application,ai-inference,AI Inference
application,Application,visual-computing,Visual Computing
application,Application,hpc,HPC
application,Application,hci,HCI
application,Application,storage,Storage
application,Application,edge,Edge
