id,platform,cooling,vendor,cpuSeries,formFactor,gpuType,gpus,dimmSlots,lanSpeed,application
R183-S90,x86,air,intel,xeon-scalable,1u,none,0,16,1gbe,hpc|storage
R183-S92,x86,air,intel,xeon-scalable,1u,none,0,32,10gbe,hpc|storage|hci
R283-S90,x86,air,intel,xeon-scalable,2u,nvidia-h100-nvl,2,16,10gbe,ai|ai-training|hpc
R283-S92,x86,air,intel,xeon-scalable,2u,nvidia-rtx-6000,4,24,10gbe,ai|ai-inference|visual-computing
G493-SB0,x86,air,intel,xeon-scalable,4u,nvidia-hgx-h100,8,32,10gbe,ai|ai-training|hpc
R183-SF0,x86,immersion,intel,xeon-scalable,1u,none,0,16,10gbe,hpc
R164-S30,x86,air,intel,xeon-6,1u,none,0,8,10gbe,edge|storage
R264-S30,x86,air,intel,xeon-6,2u,nvidia-h200-nvl,4,24,10gbe,ai|ai-training|hpc
H374-A80,x86,liquid,intel,xeon-6,3u,nvidia-hgx-h200,4,24,10gbe,ai|ai-training
G494-SB0,x86,liquid,intel,xeon-6,4u,nvidia-hgx-b200,8,24,10gbe,ai|ai-training
R133-C10,x86,air,intel,xeon-e,1u,none,0,4,1gbe,edge
R133-C11,x86,air,intel,xeon-e,1u,nvidia-rtx-6000,1,4,1gbe,edge|ai-inference
R163-S30,x86,air,amd,epyc,1u,none,0,12,10gbe,storage|hci
R163-S32,x86,air,amd,epyc,1u,none,0,24,10gbe,hpc|storage
R263-S30,x86,air,amd,epyc,2u,amd-mi300x,4,24,10gbe,ai|ai-training|hpc
R263-Z34,x86,air,amd,epyc,2u,nvidia-h100-nvl,2,24,10gbe,ai|ai-inference
R263-Z35,x86,liquid,amd,epyc,2u,nvidia-h200-nvl,2,24,10gbe,ai|ai-training
R263-ZG0,x86,liquid,amd,epyc,2u,amd-mi300a,4,0,10gbe,ai|ai-training|hpc
G363-SR0,x86,air,amd,epyc,3u,amd-mi300x,4,24,10gbe,ai|hpc
G493-ZB0,x86,air,amd,epyc,4u,amd-mi300x,8,24,10gbe,ai|ai-training|hpc
G493-ZB1,x86,liquid,amd,epyc,4u,nvidia-hgx-h200,8,32,10gbe,ai|ai-training
G593-ZD1,x86,air,amd,epyc,5u,nvidia-hgx-b200,8,24,10gbe,ai|ai-training
R263-ZF0,x86,immersion,amd,epyc,2u,nvidia-h100-nvl,4,24,10gbe,ai|ai-training
W773-H5D,x86,air,amd,threadripper,4u,nvidia-rtx-6000,2,8,10gbe,visual-computing|ai-inference
G293-Z40,arm,air,nvidia,grace,2u,nvidia-gh200,1,0,10gbe,ai|ai-inference|hpc
G293-Z42,arm,liquid,nvidia,grace,2u,nvidia-gb200,2,0,10gbe,ai|ai-training
G593-ZX1,arm,liquid,nvidia,grace,5u,nvidia-gb200,4,0,10gbe,ai|ai-training|hpc
G894-SD1,arm,liquid,nvidia,grace,8u,nvidia-gb200,8,0,10gbe,ai|ai-training|hpc
R263-P30,arm,air,ampere,altra,1u,none,0,16,1gbe,edge|hci
R282-N80,arm,air,ampere,altra,2u,none,0,32,10gbe,hpc|storage
H273-Z80,arm,air,ampere,ampereone,1u,none,0,16,10gbe,edge|hci
H273-Z82,arm,air,ampere,ampereone,2u,none,0,24,10gbe,hpc|storage|hci
G494-ZB4,x86,air,amd,epyc,4u,amd-mi325x,8,24,10gbe,ai|ai-training|hpc
G893-SD1,x86,liquid,intel,xeon-scalable,8u,nvidia-hgx-h100,8,32,10gbe,ai|ai-training
R284-A90,x86,air,intel,xeon-scalable,2u,intel-gaudi3,4,16,10gbe,ai|ai-training|ai-inference
